date,adm0_name,adm1_name,adm2_name,Total No# of IDPs Ind#,reference_year,diff_last_year,diff_per_month
2014-12-31,Mali,Gao,Ansongo,1888.0,2014,0.0,0.0
2014-12-31,Mali,Gao,Bourem,1484.0,2014,0.0,0.0
2014-12-31,Mali,Gao,Gao,1794.0,2014,0.0,0.0
2014-12-31,Mali,Gao,Menaka,2079.0,2014,0.0,0.0
2014-12-31,Mali,Mopti,Bandiagara,80.0,2014,0.0,0.0
2014-12-31,Mali,Mopti,Bankass,37.0,2014,0.0,0.0
2014-12-31,Mali,Mopti,Djenne,56.0,2014,0.0,0.0
2014-12-31,Mali,Mopti,Douentza,89.0,2014,0.0,0.0
2014-12-31,Mali,Mopti,Koro,262.0,2014,0.0,0.0
2014-12-31,Mali,Mopti,Mopti,3804.0,2014,0.0,0.0
2014-12-31,Mali,Mopti,Tenenkou,58.0,2014,0.0,0.0
2014-12-31,Mali,Mopti,Youwarou,44.0,2014,0.0,0.0
2014-12-31,Mali,Tombouctou,Dire,3658.0,2014,0.0,0.0
2014-12-31,Mali,Tombouctou,Goundam,1012.0,2014,0.0,0.0
2014-12-31,Mali,Tombouctou,Gourma-Rharous,626.0,2014,0.0,0.0
2014-12-31,Mali,Tombouctou,Niafunke,1112.0,2014,0.0,0.0
2014-12-31,Mali,Tombouctou,Tombouctou,3940.0,2014,0.0,0.0
2015-12-31,Mali,Gao,Ansongo,1099.0,2015,-789.0,-65.75
2015-12-31,Mali,Gao,Bourem,2206.0,2015,722.0,60.166666666666664
2015-12-31,Mali,Gao,Gao,5899.0,2015,4105.0,342.0833333333333
2015-12-31,Mali,Gao,Menaka,2659.0,2015,580.0,48.333333333333336
2015-12-31,Mali,Mopti,Bandiagara,42.0,2015,-38.0,-3.1666666666666665
2015-12-31,Mali,Mopti,Bankass,15.0,2015,-22.0,-1.8333333333333333
2015-12-31,Mali,Mopti,Djenne,29.0,2015,-27.0,-2.25
2015-12-31,Mali,Mopti,Douentza,84.0,2015,-5.0,-0.4166666666666667
2015-12-31,Mali,Mopti,Koro,96.0,2015,-166.0,-13.833333333333334
2015-12-31,Mali,Mopti,Mopti,2558.0,2015,-1246.0,-103.83333333333333
2015-12-31,Mali,Mopti,Tenenkou,106.0,2015,48.0,4.0
2015-12-31,Mali,Mopti,Youwarou,116.0,2015,72.0,6.0
2015-12-31,Mali,Tombouctou,Dire,3268.0,2015,-390.0,-32.5
2015-12-31,Mali,Tombouctou,Goundam,11999.0,2015,10987.0,915.5833333333334
2015-12-31,Mali,Tombouctou,Gourma-Rharous,2597.0,2015,1971.0,164.25
2015-12-31,Mali,Tombouctou,Niafunke,3683.0,2015,2571.0,214.25
2015-12-31,Mali,Tombouctou,Tombouctou,4250.0,2015,310.0,25.833333333333332
